fecha,modo,afluencia
2007-03-12,Metrobús,251601
2007-03-13,Metrobús,252650
2007-03-14,Metrobús,269845
2007-03-15,Metrobús,265372
2007-03-16,Metrobús,271856
2007-03-17,Metrobús,147424
2007-03-18,Metrobús,75166
2007-03-19,Metrobús,89222
2007-03-20,Metrobús,258266
2007-03-21,Metrobús,260448
2007-03-22,Metrobús,256588
2007-03-23,Metrobús,267346
2007-03-24,Metrobús,153051
2007-03-25,Metrobús,81662
2007-03-26,Metrobús,251721
2007-03-27,Metrobús,229352
2007-03-28,Metrobús,265036
2007-03-29,Metrobús,256737
2007-03-30,Metrobús,274480
2007-03-31,Metrobús,145597
2007-04-01,Metrobús,69078
2007-04-02,Metrobús,216493
2007-04-03,Metrobús,213640
2007-04-04,Metrobús,209582
2007-04-05,Metrobús,85919
2007-04-06,Metrobús,64366
2007-04-07,Metrobús,82430
2007-04-08,Metrobús,62519
2007-04-09,Metrobús,241208
2007-04-10,Metrobús,229704
2007-04-11,Metrobús,255827
2007-04-12,Metrobús,243322
2007-04-13,Metrobús,263241
2007-04-14,Metrobús,134986
2007-04-15,Metrobús,77776
2007-04-16,Metrobús,251158
2007-04-17,Metrobús,264069
2007-04-18,Metrobús,268049
2007-04-19,Metrobús,276191
2007-04-20,Metrobús,261238
2007-04-21,Metrobús,150286
2007-04-22,Metrobús,76858
2007-04-23,Metrobús,249186
2007-04-24,Metrobús,253909
2007-04-25,Metrobús,271709
2007-04-26,Metrobús,270969
2007-04-27,Metrobús,270570
2007-04-28,Metrobús,152874
2007-04-29,Metrobús,74360
2007-04-30,Metrobús,249406
2007-05-01,Metrobús,120333
2007-05-02,Metrobús,236949
2007-05-03,Metrobús,287383
2007-05-04,Metrobús,281049
2007-05-05,Metrobús,145340
2007-05-06,Metrobús,79795
2007-05-07,Metrobús,262998
2007-05-08,Metrobús,272852
2007-05-09,Metrobús,265184
2007-05-10,Metrobús,195416
2007-05-11,Metrobús,268186
2007-05-12,Metrobús,152397
2007-05-13,Metrobús,77440
2007-05-14,Metrobús,254134
2007-05-15,Metrobús,260556
2007-05-16,Metrobús,278624
2007-05-17,Metrobús,278060
2007-05-18,Metrobús,278116
2007-05-19,Metrobús,150740
2007-05-20,Metrobús,79356
2007-05-21,Metrobús,261155
2007-05-22,Metrobús,275154
2007-05-23,Metrobús,265227
2007-05-24,Metrobús,276425
2007-05-25,Metrobús,278301
2007-05-26,Metrobús,160117
2007-05-27,Metrobús,72179
2007-05-28,Metrobús,260843
2007-05-29,Metrobús,272349
2007-05-30,Metrobús,271673
2007-05-31,Metrobús,280753
2007-06-01,Metrobús,267269
2007-06-02,Metrobús,161736
2007-06-03,Metrobús,83284
2007-06-04,Metrobús,270570
2007-06-05,Metrobús,276428
2007-06-06,Metrobús,278928
2007-06-07,Metrobús,284161
2007-06-08,Metrobús,283105
2007-06-09,Metrobús,156508
2007-06-10,Metrobús,78950
2007-06-11,Metrobús,264677
2007-06-12,Metrobús,276878
2007-06-13,Metrobús,272884
2007-06-14,Metrobús,279000
2007-06-15,Metrobús,285129
2007-06-16,Metrobús,153609
2007-06-17,Metrobús,78298
2007-06-18,Metrobús,256532
2007-06-19,Metrobús,272253
2007-06-20,Metrobús,268656
2007-06-21,Metrobús,276496
2007-06-22,Metrobús,275897
2007-06-23,Metrobús,154917
2007-06-24,Metrobús,79340
2007-06-25,Metrobús,260367
2007-06-26,Metrobús,269380
2007-06-27,Metrobús,273629
2007-06-28,Metrobús,268887
2007-06-29,Metrobús,288950
2007-06-30,Metrobús,141049
2007-07-01,Metrobús,80525
2007-07-02,Metrobús,270859
2007-07-03,Metrobús,269704
2007-07-04,Metrobús,282251
2007-07-05,Metrobús,282251
2007-07-06,Metrobús,262661
2007-07-07,Metrobús,146574
2007-07-08,Metrobús,73159
2007-07-09,Metrobús,257473
2007-07-10,Metrobús,264668
2007-07-11,Metrobús,274382
2007-07-12,Metrobús,273357
2007-07-13,Metrobús,284835
2007-07-14,Metrobús,139539
2007-07-15,Metrobús,84406
2007-07-16,Metrobús,244364
2007-07-17,Metrobús,250072
2007-07-18,Metrobús,250306
2007-07-19,Metrobús,250306
2007-07-20,Metrobús,252669
2007-07-21,Metrobús,141663
2007-07-22,Metrobús,111887
2007-07-23,Metrobús,201926
2007-07-24,Metrobús,252863
2007-07-25,Metrobús,249384
2007-07-26,Metrobús,249662
2007-07-27,Metrobús,251062
2007-07-28,Metrobús,137889
2007-07-29,Metrobús,82810
2007-07-30,Metrobús,244726
2007-07-31,Metrobús,261243
2007-08-01,Metrobús,265835
2007-08-02,Metrobús,262222
2007-08-03,Metrobús,270844
2007-08-04,Metrobús,147315
2007-08-05,Metrobús,72772
2007-08-06,Metrobús,243784
2007-08-07,Metrobús,254047
2007-08-08,Metrobús,262203
2007-08-09,Metrobús,264039
2007-08-10,Metrobús,265707
2007-08-11,Metrobús,159034
2007-08-12,Metrobús,76533
2007-08-13,Metrobús,252098
2007-08-14,Metrobús,251000
2007-08-15,Metrobús,265082
2007-08-16,Metrobús,255389
2007-08-17,Metrobús,266459
2007-08-18,Metrobús,135543
2007-08-19,Metrobús,72076
2007-08-20,Metrobús,259264
2007-08-21,Metrobús,265572
2007-08-22,Metrobús,253595
2007-08-23,Metrobús,261509
2007-08-24,Metrobús,281411
2007-08-25,Metrobús,129842
2007-08-26,Metrobús,60463
2007-08-27,Metrobús,256609
2007-08-28,Metrobús,264717
2007-08-29,Metrobús,273385
2007-08-30,Metrobús,275666
2007-08-31,Metrobús,279516
2007-09-01,Metrobús,142893
2007-09-02,Metrobús,70708
2007-09-03,Metrobús,267416
2007-09-04,Metrobús,271943
2007-09-05,Metrobús,282428
2007-09-06,Metrobús,269032
2007-09-07,Metrobús,275484
2007-09-08,Metrobús,152887
2007-09-09,Metrobús,73903
2007-09-10,Metrobús,258024
2007-09-11,Metrobús,259518
2007-09-12,Metrobús,268509
2007-09-13,Metrobús,264096
2007-09-14,Metrobús,269093
2007-09-15,Metrobús,122212
2007-09-16,Metrobús,69493
2007-09-17,Metrobús,256753
2007-09-18,Metrobús,262126
2007-09-19,Metrobús,269016
2007-09-20,Metrobús,272335
2007-09-21,Metrobús,276722
2007-09-22,Metrobús,161262
2007-09-23,Metrobús,76488
2007-09-24,Metrobús,258549
2007-09-25,Metrobús,258549
2007-09-26,Metrobús,265497
2007-09-27,Metrobús,270394
2007-09-28,Metrobús,274822
2007-09-29,Metrobús,152162
2007-09-30,Metrobús,84641
2007-10-01,Metrobús,270274
2007-10-02,Metrobús,268978
2007-10-03,Metrobús,264138
2007-10-04,Metrobús,265644
2007-10-05,Metrobús,275661
2007-10-06,Metrobús,157186
2007-10-07,Metrobús,69660
2007-10-08,Metrobús,257242
2007-10-09,Metrobús,272257
2007-10-10,Metrobús,262320
2007-10-11,Metrobús,266443
2007-10-12,Metrobús,279734
2007-10-13,Metrobús,159572
2007-10-14,Metrobús,86151
2007-10-15,Metrobús,263628
2007-10-16,Metrobús,268776
2007-10-17,Metrobús,267160
2007-10-18,Metrobús,276485
2007-10-19,Metrobús,272398
2007-10-20,Metrobús,159174
2007-10-21,Metrobús,76645
2007-10-22,Metrobús,254846
2007-10-23,Metrobús,251231
2007-10-24,Metrobús,260608
2007-10-25,Metrobús,263669
2007-10-26,Metrobús,271331
2007-10-27,Metrobús,152958
2007-10-28,Metrobús,78739
2007-10-29,Metrobús,260302
2007-10-30,Metrobús,264975
2007-10-31,Metrobús,280108
2007-11-01,Metrobús,236006
2007-11-02,Metrobús,116252
2007-11-03,Metrobús,113494
2007-11-04,Metrobús,71251
2007-11-05,Metrobús,252030
2007-11-06,Metrobús,265522
2007-11-07,Metrobús,266942
2007-11-08,Metrobús,263822
2007-11-09,Metrobús,275893
2007-11-10,Metrobús,160344
2007-11-11,Metrobús,78312
2007-11-12,Metrobús,260058
2007-11-13,Metrobús,261987
2007-11-14,Metrobús,268196
2007-11-15,Metrobús,273324
2007-11-16,Metrobús,285925
2007-11-17,Metrobús,159917
2007-11-18,Metrobús,82553
2007-11-19,Metrobús,92135
2007-11-20,Metrobús,252853
2007-11-21,Metrobús,279321
2007-11-22,Metrobús,268396
2007-11-23,Metrobús,283180
2007-11-24,Metrobús,151649
2007-11-25,Metrobús,80824
2007-11-26,Metrobús,255965
2007-11-27,Metrobús,262525
2007-11-28,Metrobús,265222
2007-11-29,Metrobús,273597
2007-11-30,Metrobús,269657
2007-12-01,Metrobús,149852
2007-12-02,Metrobús,90513
2007-12-03,Metrobús,253255
2007-12-04,Metrobús,268369
2007-12-05,Metrobús,267572
2007-12-06,Metrobús,273301
2007-12-07,Metrobús,273820
2007-12-08,Metrobús,142148
2007-12-09,Metrobús,80223
2007-12-10,Metrobús,260432
2007-12-11,Metrobús,263898
2007-12-12,Metrobús,210097
